order_details_id,order_id,order_date,order_time,item_id,menu_item_id,item_name,category,price,hour
1,1,2023-01-01,1900-01-01 11:38:36,109,109,Korean Beef Bowl,Asian,17.95,11
2,2,2023-01-01,1900-01-01 11:57:40,108,108,Tofu Pad Thai,Asian,14.5,11
3,2,2023-01-01,1900-01-01 11:57:40,124,124,Spaghetti,Italian,14.5,11
4,2,2023-01-01,1900-01-01 11:57:40,117,117,Chicken Burrito,Mexican,12.95,11
5,2,2023-01-01,1900-01-01 11:57:40,129,129,Mushroom Ravioli,Italian,15.5,11
6,2,2023-01-01,1900-01-01 11:57:40,106,106,French Fries,American,7.0,11
7,3,2023-01-01,1900-01-01 12:12:28,117,117,Chicken Burrito,Mexican,12.95,12
8,3,2023-01-01,1900-01-01 12:12:28,119,119,Chicken Torta,Mexican,11.95,12
9,4,2023-01-01,1900-01-01 12:16:31,117,117,Chicken Burrito,Mexican,12.95,12
10,5,2023-01-01,1900-01-01 12:21:30,117,117,Chicken Burrito,Mexican,12.95,12
11,6,2023-01-01,1900-01-01 12:29:36,101,101,Hamburger,American,12.95,12
12,6,2023-01-01,1900-01-01 12:29:36,114,114,Potstickers,Asian,9.0,12
13,7,2023-01-01,1900-01-01 12:50:37,123,123,Chips & Guacamole,Mexican,9.0,12
14,8,2023-01-01,1900-01-01 12:51:37,123,123,Chips & Guacamole,Mexican,9.0,12
15,9,2023-01-01,1900-01-01 12:52:01,108,108,Tofu Pad Thai,Asian,14.5,12
16,9,2023-01-01,1900-01-01 12:52:01,126,126,Fettuccine Alfredo,Italian,14.5,12
17,9,2023-01-01,1900-01-01 12:52:01,110,110,Pork Ramen,Asian,17.95,12
18,9,2023-01-01,1900-01-01 12:52:01,117,117,Chicken Burrito,Mexican,12.95,12
19,9,2023-01-01,1900-01-01 12:52:01,117,117,Chicken Burrito,Mexican,12.95,12
20,9,2023-01-01,1900-01-01 12:52:01,129,129,Mushroom Ravioli,Italian,15.5,12
21,9,2023-01-01,1900-01-01 12:52:01,122,122,Chips & Salsa,Mexican,7.0,12
22,9,2023-01-01,1900-01-01 12:52:01,130,130,Shrimp Scampi,Italian,19.95,12
23,9,2023-01-01,1900-01-01 12:52:01,132,132,Eggplant Parmesan,Italian,16.95,12
24,10,2023-01-01,1900-01-01 13:00:15,129,129,Mushroom Ravioli,Italian,15.5,13
25,10,2023-01-01,1900-01-01 13:00:15,105,105,Mac & Cheese,American,7.0,13
26,11,2023-01-01,1900-01-01 13:02:59,101,101,Hamburger,American,12.95,13
27,11,2023-01-01,1900-01-01 13:02:59,102,102,Cheeseburger,American,13.95,13
28,11,2023-01-01,1900-01-01 13:02:59,102,102,Cheeseburger,American,13.95,13
29,11,2023-01-01,1900-01-01 13:02:59,113,113,Edamame,Asian,5.0,13
30,12,2023-01-01,1900-01-01 13:04:41,102,102,Cheeseburger,American,13.95,13
31,12,2023-01-01,1900-01-01 13:04:41,102,102,Cheeseburger,American,13.95,13
32,12,2023-01-01,1900-01-01 13:04:41,104,104,Veggie Burger,American,10.5,13
33,12,2023-01-01,1900-01-01 13:04:41,117,117,Chicken Burrito,Mexican,12.95,13
34,13,2023-01-01,1900-01-01 13:11:55,129,129,Mushroom Ravioli,Italian,15.5,13
35,14,2023-01-01,1900-01-01 13:14:19,114,114,Potstickers,Asian,9.0,13
36,15,2023-01-01,1900-01-01 13:33:00,107,107,Orange Chicken,Asian,16.5,13
37,15,2023-01-01,1900-01-01 13:33:00,124,124,Spaghetti,Italian,14.5,13
38,15,2023-01-01,1900-01-01 13:33:00,121,121,Cheese Quesadillas,Mexican,10.5,13
39,15,2023-01-01,1900-01-01 13:33:00,114,114,Potstickers,Asian,9.0,13
40,16,2023-01-01,1900-01-01 13:34:07,125,125,Spaghetti & Meatballs,Italian,17.95,13
41,16,2023-01-01,1900-01-01 13:34:07,111,111,California Roll,Asian,11.95,13
42,16,2023-01-01,1900-01-01 13:34:07,106,106,French Fries,American,7.0,13
43,17,2023-01-01,1900-01-01 13:53:00,101,101,Hamburger,American,12.95,13
44,17,2023-01-01,1900-01-01 13:53:00,116,116,Steak Tacos,Mexican,13.95,13
45,17,2023-01-01,1900-01-01 13:53:00,124,124,Spaghetti,Italian,14.5,13
46,17,2023-01-01,1900-01-01 13:53:00,125,125,Spaghetti & Meatballs,Italian,17.95,13
47,17,2023-01-01,1900-01-01 13:53:00,117,117,Chicken Burrito,Mexican,12.95,13
48,17,2023-01-01,1900-01-01 13:53:00,127,127,Meat Lasagna,Italian,17.95,13
49,17,2023-01-01,1900-01-01 13:53:00,128,128,Cheese Lasagna,Italian,15.5,13
50,17,2023-01-01,1900-01-01 13:53:00,129,129,Mushroom Ravioli,Italian,15.5,13
51,17,2023-01-01,1900-01-01 13:53:00,118,118,Steak Burrito,Mexican,14.95,13
52,17,2023-01-01,1900-01-01 13:53:00,131,131,Chicken Parmesan,Italian,17.95,13
53,18,2023-01-01,1900-01-01 13:57:08,111,111,California Roll,Asian,11.95,13
54,19,2023-01-01,1900-01-01 13:59:09,110,110,Pork Ramen,Asian,17.95,13
55,19,2023-01-01,1900-01-01 13:59:09,120,120,Steak Torta,Mexican,13.95,13
56,20,2023-01-01,1900-01-01 14:03:08,107,107,Orange Chicken,Asian,16.5,14
57,20,2023-01-01,1900-01-01 14:03:08,124,124,Spaghetti,Italian,14.5,14
58,21,2023-01-01,1900-01-01 14:14:29,110,110,Pork Ramen,Asian,17.95,14
59,22,2023-01-01,1900-01-01 14:16:26,124,124,Spaghetti,Italian,14.5,14
60,22,2023-01-01,1900-01-01 14:16:26,110,110,Pork Ramen,Asian,17.95,14
61,22,2023-01-01,1900-01-01 14:16:26,105,105,Mac & Cheese,American,7.0,14
62,23,2023-01-01,1900-01-01 14:19:03,105,105,Mac & Cheese,American,7.0,14
63,24,2023-01-01,1900-01-01 14:23:01,101,101,Hamburger,American,12.95,14
64,24,2023-01-01,1900-01-01 14:23:01,110,110,Pork Ramen,Asian,17.95,14
65,24,2023-01-01,1900-01-01 14:23:01,113,113,Edamame,Asian,5.0,14
66,24,2023-01-01,1900-01-01 14:23:01,119,119,Chicken Torta,Mexican,11.95,14
67,25,2023-01-01,1900-01-01 14:44:44,120,120,Steak Torta,Mexican,13.95,14
68,25,2023-01-01,1900-01-01 14:44:44,106,106,French Fries,American,7.0,14
69,26,2023-01-01,1900-01-01 14:54:26,108,108,Tofu Pad Thai,Asian,14.5,14
70,26,2023-01-01,1900-01-01 14:54:26,132,132,Eggplant Parmesan,Italian,16.95,14
71,27,2023-01-01,1900-01-01 15:11:17,101,101,Hamburger,American,12.95,15
72,27,2023-01-01,1900-01-01 15:11:17,108,108,Tofu Pad Thai,Asian,14.5,15
73,27,2023-01-01,1900-01-01 15:11:17,131,131,Chicken Parmesan,Italian,17.95,15
74,28,2023-01-01,1900-01-01 15:35:46,103,103,Hot Dog,American,9.0,15
75,29,2023-01-01,1900-01-01 15:41:01,126,126,Fettuccine Alfredo,Italian,14.5,15
76,30,2023-01-01,1900-01-01 15:41:25,106,106,French Fries,American,7.0,15
77,31,2023-01-01,1900-01-01 15:50:18,129,129,Mushroom Ravioli,Italian,15.5,15
78,31,2023-01-01,1900-01-01 15:50:18,113,113,Edamame,Asian,5.0,15
79,32,2023-01-01,1900-01-01 15:53:18,107,107,Orange Chicken,Asian,16.5,15
80,32,2023-01-01,1900-01-01 15:53:18,126,126,Fettuccine Alfredo,Italian,14.5,15
81,32,2023-01-01,1900-01-01 15:53:18,110,110,Pork Ramen,Asian,17.95,15
82,32,2023-01-01,1900-01-01 15:53:18,117,117,Chicken Burrito,Mexican,12.95,15
83,33,2023-01-01,1900-01-01 15:54:08,101,101,Hamburger,American,12.95,15
84,33,2023-01-01,1900-01-01 15:54:08,126,126,Fettuccine Alfredo,Italian,14.5,15
85,34,2023-01-01,1900-01-01 16:21:21,114,114,Potstickers,Asian,9.0,16
86,35,2023-01-01,1900-01-01 16:32:04,126,126,Fettuccine Alfredo,Italian,14.5,16
87,35,2023-01-01,1900-01-01 16:32:04,112,112,Salmon Roll,Asian,14.95,16
88,35,2023-01-01,1900-01-01 16:32:04,113,113,Edamame,Asian,5.0,16
89,35,2023-01-01,1900-01-01 16:32:04,106,106,French Fries,American,7.0,16
90,36,2023-01-01,1900-01-01 16:54:09,101,101,Hamburger,American,12.95,16
91,36,2023-01-01,1900-01-01 16:54:09,108,108,Tofu Pad Thai,Asian,14.5,16
92,37,2023-01-01,1900-01-01 16:56:09,117,117,Chicken Burrito,Mexican,12.95,16
93,37,2023-01-01,1900-01-01 16:56:09,129,129,Mushroom Ravioli,Italian,15.5,16
94,38,2023-01-01,1900-01-01 17:03:00,109,109,Korean Beef Bowl,Asian,17.95,17
95,38,2023-01-01,1900-01-01 17:03:00,110,110,Pork Ramen,Asian,17.95,17
96,39,2023-01-01,1900-01-01 17:07:23,117,117,Chicken Burrito,Mexican,12.95,17
97,40,2023-01-01,1900-01-01 17:14:36,125,125,Spaghetti & Meatballs,Italian,17.95,17
98,40,2023-01-01,1900-01-01 17:14:36,105,105,Mac & Cheese,American,7.0,17
99,41,2023-01-01,1900-01-01 17:15:20,125,125,Spaghetti & Meatballs,Italian,17.95,17
100,41,2023-01-01,1900-01-01 17:15:20,126,126,Fettuccine Alfredo,Italian,14.5,17
101,42,2023-01-01,1900-01-01 17:28:09,107,107,Orange Chicken,Asian,16.5,17
102,42,2023-01-01,1900-01-01 17:28:09,124,124,Spaghetti,Italian,14.5,17
103,42,2023-01-01,1900-01-01 17:28:09,129,129,Mushroom Ravioli,Italian,15.5,17
104,42,2023-01-01,1900-01-01 17:28:09,118,118,Steak Burrito,Mexican,14.95,17
105,43,2023-01-01,1900-01-01 17:38:34,103,103,Hot Dog,American,9.0,17
106,43,2023-01-01,1900-01-01 17:38:34,117,117,Chicken Burrito,Mexican,12.95,17
107,43,2023-01-01,1900-01-01 17:38:34,118,118,Steak Burrito,Mexican,14.95,17
108,44,2023-01-01,1900-01-01 17:54:20,130,130,Shrimp Scampi,Italian,19.95,17
109,45,2023-01-01,1900-01-01 17:55:48,125,125,Spaghetti & Meatballs,Italian,17.95,17
110,45,2023-01-01,1900-01-01 17:55:48,109,109,Korean Beef Bowl,Asian,17.95,17
111,45,2023-01-01,1900-01-01 17:55:48,106,106,French Fries,American,7.0,17
112,46,2023-01-01,1900-01-01 18:25:51,104,104,Veggie Burger,American,10.5,18
113,46,2023-01-01,1900-01-01 18:25:51,108,108,Tofu Pad Thai,Asian,14.5,18
114,46,2023-01-01,1900-01-01 18:25:51,106,106,French Fries,American,7.0,18
115,47,2023-01-01,1900-01-01 18:26:34,105,105,Mac & Cheese,American,7.0,18
116,47,2023-01-01,1900-01-01 18:26:34,132,132,Eggplant Parmesan,Italian,16.95,18
117,48,2023-01-01,1900-01-01 18:26:42,104,104,Veggie Burger,American,10.5,18
118,48,2023-01-01,1900-01-01 18:26:42,126,126,Fettuccine Alfredo,Italian,14.5,18
119,48,2023-01-01,1900-01-01 18:26:42,119,119,Chicken Torta,Mexican,11.95,18
120,48,2023-01-01,1900-01-01 18:26:42,122,122,Chips & Salsa,Mexican,7.0,18
121,49,2023-01-01,1900-01-01 18:33:00,120,120,Steak Torta,Mexican,13.95,18
123,51,2023-01-01,1900-01-01 18:48:28,101,101,Hamburger,American,12.95,18
124,51,2023-01-01,1900-01-01 18:48:28,112,112,Salmon Roll,Asian,14.95,18
125,52,2023-01-01,1900-01-01 18:53:02,109,109,Korean Beef Bowl,Asian,17.95,18
126,52,2023-01-01,1900-01-01 18:53:02,129,129,Mushroom Ravioli,Italian,15.5,18
127,52,2023-01-01,1900-01-01 18:53:02,122,122,Chips & Salsa,Mexican,7.0,18
128,53,2023-01-01,1900-01-01 18:54:17,112,112,Salmon Roll,Asian,14.95,18
129,53,2023-01-01,1900-01-01 18:54:17,123,123,Chips & Guacamole,Mexican,9.0,18
130,54,2023-01-01,1900-01-01 19:01:45,119,119,Chicken Torta,Mexican,11.95,19
131,54,2023-01-01,1900-01-01 19:01:45,106,106,French Fries,American,7.0,19
132,55,2023-01-01,1900-01-01 19:03:19,118,118,Steak Burrito,Mexican,14.95,19
133,55,2023-01-01,1900-01-01 19:03:19,122,122,Chips & Salsa,Mexican,7.0,19
134,56,2023-01-01,1900-01-01 19:07:00,108,108,Tofu Pad Thai,Asian,14.5,19
135,56,2023-01-01,1900-01-01 19:07:00,128,128,Cheese Lasagna,Italian,15.5,19
136,56,2023-01-01,1900-01-01 19:07:00,105,105,Mac & Cheese,American,7.0,19
137,57,2023-01-01,1900-01-01 19:10:51,108,108,Tofu Pad Thai,Asian,14.5,19
138,58,2023-01-01,1900-01-01 19:30:40,124,124,Spaghetti,Italian,14.5,19
139,58,2023-01-01,1900-01-01 19:30:40,113,113,Edamame,Asian,5.0,19
140,59,2023-01-01,1900-01-01 19:40:08,127,127,Meat Lasagna,Italian,17.95,19
141,59,2023-01-01,1900-01-01 19:40:08,112,112,Salmon Roll,Asian,14.95,19
142,59,2023-01-01,1900-01-01 19:40:08,113,113,Edamame,Asian,5.0,19
143,60,2023-01-01,1900-01-01 20:05:16,104,104,Veggie Burger,American,10.5,20
144,60,2023-01-01,1900-01-01 20:05:16,125,125,Spaghetti & Meatballs,Italian,17.95,20
145,61,2023-01-01,1900-01-01 20:08:43,101,101,Hamburger,American,12.95,20
146,61,2023-01-01,1900-01-01 20:08:43,117,117,Chicken Burrito,Mexican,12.95,20
147,62,2023-01-01,1900-01-01 20:50:16,101,101,Hamburger,American,12.95,20
148,62,2023-01-01,1900-01-01 20:50:16,123,123,Chips & Guacamole,Mexican,9.0,20
149,63,2023-01-01,1900-01-01 20:51:42,112,112,Salmon Roll,Asian,14.95,20
150,64,2023-01-01,1900-01-01 20:52:08,107,107,Orange Chicken,Asian,16.5,20
151,65,2023-01-01,1900-01-01 21:16:00,112,112,Salmon Roll,Asian,14.95,21
152,65,2023-01-01,1900-01-01 21:16:00,120,120,Steak Torta,Mexican,13.95,21
153,65,2023-01-01,1900-01-01 21:16:00,122,122,Chips & Salsa,Mexican,7.0,21
154,65,2023-01-01,1900-01-01 21:16:00,123,123,Chips & Guacamole,Mexican,9.0,21
155,66,2023-01-01,1900-01-01 21:47:55,108,108,Tofu Pad Thai,Asian,14.5,21
156,66,2023-01-01,1900-01-01 21:47:55,110,110,Pork Ramen,Asian,17.95,21
157,67,2023-01-01,1900-01-01 22:03:40,105,105,Mac & Cheese,American,7.0,22
158,68,2023-01-01,1900-01-01 22:07:32,108,108,Tofu Pad Thai,Asian,14.5,22
159,68,2023-01-01,1900-01-01 22:07:32,117,117,Chicken Burrito,Mexican,12.95,22
160,68,2023-01-01,1900-01-01 22:07:32,117,117,Chicken Burrito,Mexican,12.95,22
161,69,2023-01-01,1900-01-01 22:12:13,101,101,Hamburger,American,12.95,22
162,70,2023-02-01,1900-01-01 11:38:51,127,127,Meat Lasagna,Italian,17.95,11
163,70,2023-02-01,1900-01-01 11:38:51,121,121,Cheese Quesadillas,Mexican,10.5,11
164,71,2023-02-01,1900-01-01 11:40:50,106,106,French Fries,American,7.0,11
165,72,2023-02-01,1900-01-01 11:57:25,131,131,Chicken Parmesan,Italian,17.95,11
166,73,2023-02-01,1900-01-01 11:58:56,106,106,French Fries,American,7.0,11
167,74,2023-02-01,1900-01-01 12:01:12,124,124,Spaghetti,Italian,14.5,12
168,74,2023-02-01,1900-01-01 12:01:12,129,129,Mushroom Ravioli,Italian,15.5,12
169,74,2023-02-01,1900-01-01 12:01:12,130,130,Shrimp Scampi,Italian,19.95,12
170,74,2023-02-01,1900-01-01 12:01:12,123,123,Chips & Guacamole,Mexican,9.0,12
171,75,2023-02-01,1900-01-01 12:10:15,117,117,Chicken Burrito,Mexican,12.95,12
172,75,2023-02-01,1900-01-01 12:10:15,128,128,Cheese Lasagna,Italian,15.5,12
173,75,2023-02-01,1900-01-01 12:10:15,111,111,California Roll,Asian,11.95,12
174,76,2023-02-01,1900-01-01 12:21:17,107,107,Orange Chicken,Asian,16.5,12
175,76,2023-02-01,1900-01-01 12:21:17,109,109,Korean Beef Bowl,Asian,17.95,12
176,76,2023-02-01,1900-01-01 12:21:17,127,127,Meat Lasagna,Italian,17.95,12
177,76,2023-02-01,1900-01-01 12:21:17,122,122,Chips & Salsa,Mexican,7.0,12
178,77,2023-02-01,1900-01-01 12:22:46,101,101,Hamburger,American,12.95,12
179,77,2023-02-01,1900-01-01 12:22:46,109,109,Korean Beef Bowl,Asian,17.95,12
180,78,2023-02-01,1900-01-01 12:28:14,107,107,Orange Chicken,Asian,16.5,12
181,78,2023-02-01,1900-01-01 12:28:14,108,108,Tofu Pad Thai,Asian,14.5,12
182,78,2023-02-01,1900-01-01 12:28:14,125,125,Spaghetti & Meatballs,Italian,17.95,12
183,78,2023-02-01,1900-01-01 12:28:14,110,110,Pork Ramen,Asian,17.95,12
184,78,2023-02-01,1900-01-01 12:28:14,122,122,Chips & Salsa,Mexican,7.0,12
185,78,2023-02-01,1900-01-01 12:28:14,106,106,French Fries,American,7.0,12
186,79,2023-02-01,1900-01-01 12:29:11,110,110,Pork Ramen,Asian,17.95,12
187,79,2023-02-01,1900-01-01 12:29:11,112,112,Salmon Roll,Asian,14.95,12
188,79,2023-02-01,1900-01-01 12:29:11,106,106,French Fries,American,7.0,12
189,80,2023-02-01,1900-01-01 12:35:38,113,113,Edamame,Asian,5.0,12
190,80,2023-02-01,1900-01-01 12:35:38,106,106,French Fries,American,7.0,12
191,81,2023-02-01,1900-01-01 12:40:01,106,106,French Fries,American,7.0,12
192,82,2023-02-01,1900-01-01 12:45:51,107,107,Orange Chicken,Asian,16.5,12
193,82,2023-02-01,1900-01-01 12:45:51,102,102,Cheeseburger,American,13.95,12
194,82,2023-02-01,1900-01-01 12:45:51,122,122,Chips & Salsa,Mexican,7.0,12
195,82,2023-02-01,1900-01-01 12:45:51,132,132,Eggplant Parmesan,Italian,16.95,12
196,83,2023-02-01,1900-01-01 12:53:27,105,105,Mac & Cheese,American,7.0,12
197,84,2023-02-01,1900-01-01 13:13:41,113,113,Edamame,Asian,5.0,13
198,85,2023-02-01,1900-01-01 13:34:49,108,108,Tofu Pad Thai,Asian,14.5,13
199,85,2023-02-01,1900-01-01 13:34:49,108,108,Tofu Pad Thai,Asian,14.5,13
200,85,2023-02-01,1900-01-01 13:34:49,117,117,Chicken Burrito,Mexican,12.95,13
201,85,2023-02-01,1900-01-01 13:34:49,114,114,Potstickers,Asian,9.0,13
202,86,2023-02-01,1900-01-01 13:40:31,109,109,Korean Beef Bowl,Asian,17.95,13
203,87,2023-02-01,1900-01-01 14:01:02,110,110,Pork Ramen,Asian,17.95,14
204,87,2023-02-01,1900-01-01 14:01:02,129,129,Mushroom Ravioli,Italian,15.5,14
205,87,2023-02-01,1900-01-01 14:01:02,123,123,Chips & Guacamole,Mexican,9.0,14
206,87,2023-02-01,1900-01-01 14:01:02,123,123,Chips & Guacamole,Mexican,9.0,14
207,88,2023-02-01,1900-01-01 14:10:08,124,124,Spaghetti,Italian,14.5,14
208,89,2023-02-01,1900-01-01 14:30:19,121,121,Cheese Quesadillas,Mexican,10.5,14
209,89,2023-02-01,1900-01-01 14:30:19,106,106,French Fries,American,7.0,14
210,90,2023-02-01,1900-01-01 15:08:48,120,120,Steak Torta,Mexican,13.95,15
211,90,2023-02-01,1900-01-01 15:08:48,106,106,French Fries,American,7.0,15
212,91,2023-02-01,1900-01-01 15:14:43,101,101,Hamburger,American,12.95,15
213,91,2023-02-01,1900-01-01 15:14:43,104,104,Veggie Burger,American,10.5,15
214,91,2023-02-01,1900-01-01 15:14:43,113,113,Edamame,Asian,5.0,15
215,92,2023-02-01,1900-01-01 15:17:02,101,101,Hamburger,American,12.95,15
216,92,2023-02-01,1900-01-01 15:17:02,117,117,Chicken Burrito,Mexican,12.95,15
217,92,2023-02-01,1900-01-01 15:17:02,117,117,Chicken Burrito,Mexican,12.95,15
218,92,2023-02-01,1900-01-01 15:17:02,127,127,Meat Lasagna,Italian,17.95,15
219,92,2023-02-01,1900-01-01 15:17:02,113,113,Edamame,Asian,5.0,15
220,92,2023-02-01,1900-01-01 15:17:02,118,118,Steak Burrito,Mexican,14.95,15
221,92,2023-02-01,1900-01-01 15:17:02,131,131,Chicken Parmesan,Italian,17.95,15
222,92,2023-02-01,1900-01-01 15:17:02,123,123,Chips & Guacamole,Mexican,9.0,15
223,92,2023-02-01,1900-01-01 15:17:02,114,114,Potstickers,Asian,9.0,15
224,93,2023-02-01,1900-01-01 15:29:31,120,120,Steak Torta,Mexican,13.95,15
225,94,2023-02-01,1900-01-01 16:17:16,110,110,Pork Ramen,Asian,17.95,16
226,94,2023-02-01,1900-01-01 16:17:16,105,105,Mac & Cheese,American,7.0,16
227,95,2023-02-01,1900-01-01 16:18:04,111,111,California Roll,Asian,11.95,16
228,95,2023-02-01,1900-01-01 16:18:04,118,118,Steak Burrito,Mexican,14.95,16
229,96,2023-02-01,1900-01-01 16:21:20,111,111,California Roll,Asian,11.95,16
230,97,2023-02-01,1900-01-01 16:45:33,107,107,Orange Chicken,Asian,16.5,16
231,98,2023-02-01,1900-01-01 17:18:18,108,108,Tofu Pad Thai,Asian,14.5,17
232,98,2023-02-01,1900-01-01 17:18:18,111,111,California Roll,Asian,11.95,17
233,99,2023-02-01,1900-01-01 17:45:42,117,117,Chicken Burrito,Mexican,12.95,17
